CRN	Subj	No.	Title	Building	Room	Days	Begin	End	Max	Actual	Avail	Waitlist	Crosslist	Actual	Instructor
10502	CNX	150	Quarks to Quasars	HAC	218	T R	10:00 AM	11:20 AM	16	0	16	0			Amy Lytle
10536	CNX	142	Border Crossings	UNK	0	M W	1:00 PM	2:20 PM	16	0	16	0			Caroline Faulkner
10537	CNX	191	Con Artists/Frauds/Plagiarists	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			Amy Singer
10539	CNX	192	TBD AMS	UNK	0	M W F	10:00 AM	10:50 AM	16	0	16	0			. Staff
10560	CNX	120	The 'I' of Music	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Matthew Butterfield
10576	CNX	239	Modernity	UNK	0	T R	2:15 PM	3:35 PM	16	0	16	0			Michael Billig
10649	CNX	100	What is the Examined Life?	UNK	0	T R	2:15 PM	3:35 PM	16	0	16	0			Misty Bastian
10658	CNX	188	The Good Life	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			David McMahan
10671	CNX	193	Performing Bodies	UNK	0	M W	3:00 PM	4:20 PM	16	0	16	0			Meagan Tripp
10688	CNX	111	Living Sustainably	UNK	0	T R	2:15 PM	3:35 PM	16	0	16	0			Suzanna Richter
10693	CNX	100	What is the Examined Life?	UNK	0	M W	1:00 PM	2:20 PM	16	0	16	0			Amelia Rauser
10728	CNX	188	The Good Life	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			David Merli
10738	CNX	102	Thinking about Seeing	LSP	257	T R	10:00 AM	11:20 AM	16	0	16	0			Stephan Kaufer
10743	CNX	116	The Cyborg Self	UNK	0	M W	11:00 AM	12:20 PM	16	0	16	0			Michael Anderson
10752	CNX	194	Welcome to the Future	HAR	136	M W	3:00 PM	4:20 PM	16	0	16	0			William Schneper
10755	CNX	250	The Story of You	UNK	0	T R	12:45 PM	2:05 PM	16	0	16	0			Justin Hopkins
10132	CPS	237	Discrete Mathematics	UNK	0	M W F	10:00 AM	10:50 AM	25	2	23	0	25	8	Arnold Feldman
10133	CPS	237	Discrete Mathematics	UNK	0	M W F	1:30 PM	2:20 PM	25	0	25	0	25	2	Arnold Feldman
10167	CPS	111	Computer Science I	STA	2	M W	10:00 AM	11:20 AM	20	2	18	3			. Staff
10168	CPS	111	Computer Science I	STA	2	T R	10:00 AM	11:20 AM	20	2	18	5			Jing Hu
10169	CPS	111	Lab	STA	6	R	1:30 PM	4:20 PM	15	2	13	0			. Staff
10170	CPS	111	Lab	STA	6	F	1:30 PM	4:20 PM	15	2	13	0			. Staff
10171	CPS	112	Computer Science II	STA	2	M W	8:30 AM	9:50 AM	20	2	18	0			Anthony Weaver
10171	CPS	112	Computer Science II	STA	2	F	1:30 PM	4:20 PM	20	2	18	0			Anthony Weaver
10172	CPS	222	Computer Science III	STA	2	T R	8:30 AM	9:50 AM	15	4	11	0			. Staff
10173	CPS	242	Computer Organization	STA	2	M W	1:00 PM	2:20 PM	15	3	12	0			Edmund Novak
10594	CPS	338	Computational Mathematics	UNK	0	M	12:30 PM	1:20 PM	25	1	24	0	25	4	Christina Weaver
10594	CPS	338	Computational Mathematics	UNK	0	T R	8:30 AM	9:50 AM	25	1	24	0	25	4	Christina Weaver
10761	CPS	222	Computer Science III	STA	2	T R	12:45 PM	2:05 PM	15	1	14	0			. Staff
10762	CPS	242	Computer Organization	STA	2	M W	2:30 PM	3:50 PM	15	5	10	0			Edmund Novak
10763	CPS	370	Operating Systems	STA	2	T R	2:15 PM	3:35 PM	15	6	9	0			Edmund Novak
10772	CPS	360	Intro to Machine Learning	UNK	0	T R	12:45 PM	2:05 PM	15	9	6	0			Jing Hu
10503	ECO	100	Intro to Economic Principles	UNK	0	M W F	8:00 AM	8:50 AM	30	0	30	0			Raymond Maynard
10504	ECO	100	Intro to Economic Principles	UNK	0	M W F	9:00 AM	9:50 AM	30	2	28	0			Raymond Maynard
10505	ECO	100	Intro to Economic Principles	UNK	0	M W F	9:00 AM	9:50 AM	30	0	30	0			. Staff
10506	ECO	100	Intro to Economic Principles	UNK	0	M W F	10:00 AM	10:50 AM	30	4	26	0			. Staff
10507	ECO	100	Intro to Economic Principles	UNK	0	T R	12:45 PM	2:05 PM	30	2	28	0			Stephen Nicar
10508	ECO	103	Intro to Economic Perspectives	UNK	0	M W F	9:00 AM	9:50 AM	30	0	30	0			. Staff
10509	ECO	103	Intro to Economic Perspectives	UNK	0	M W F	10:00 AM	10:50 AM	30	0	30	0			. Staff
10510	ECO	103	Intro to Economic Perspectives	UNK	0	M W	11:00 AM	12:20 PM	30	6	24	0			David Brennan
10511	ECO	103	Intro to Economic Perspectives	UNK	0	M W	1:00 PM	2:20 PM	30	1	29	0			Eiman Zein-Elabdin
10512	ECO	200	Microeconomics	UNK	0	T R	10:00 AM	11:20 AM	19	8	11	6			. Staff
10513	ECO	200	Microeconomics	UNK	0	T R	4:45 PM	6:05 PM	19	1	18	0			Antonino Callari
10514	ECO	201	Macroeconomics	UNK	0	M W F	10:00 AM	10:50 AM	19	10	9	0			Yeva Nersisyan
10515	ECO	201	Macroeconomics	UNK	0	M W F	11:00 AM	11:50 AM	19	11	8	0			Yeva Nersisyan
10516	ECO	203	Value and Distribution	UNK	0	T R	2:15 PM	3:35 PM	19	11	8	0			Antonino Callari
10517	ECO	210	Economic Statistics	STA	112	T R	12:45 PM	2:05 PM	19	7	12	0			Patrick Fleming
10518	ECO	210	Economic Statistics	STA	112	T R	2:15 PM	3:35 PM	19	4	15	0			Patrick Fleming
10525	ECO	376	Economics Special Topic	UNK	0	M W F	12:30 PM	1:20 PM	19	5	14	0			. Staff
10526	ECO	335	Economic Development	UNK	0	M W	3:00 PM	4:20 PM	19	13	6	0			Eiman Zein-Elabdin
10527	ECO	303	Marxian Theories of Crisis	UNK	0	M W	1:00 PM	2:20 PM	19	8	11	0			David Brennan
10528	ECO	375	Law and Economics	UNK	0	T R	12:45 PM	2:05 PM	19	14	5	0			. Staff
10729	ECO	279	Marxian Economics	UNK	0	T R	10:00 AM	11:20 AM	19	6	13	0			Antonino Callari
10279	ENE	245	American Nature Essays	LSP	130	T R	8:30 AM	9:50 AM	16	2	14	0	16	3	Timothy Sipe
10279	ENE	245	American Nature Essays	LSP	256	W	12:30 PM	4:20 PM	16	2	14	0	16	3	Timothy Sipe
10281	ENE	340	Plant Ecology	LSP	363	T	12:45 PM	4:35 PM	16	1	15	0	16	8	Timothy Sipe
10281	ENE	340	Plant Ecology	LSP	256	M W	8:30 AM	9:50 AM	16	1	15	0	16	8	Timothy Sipe
10301	ENE	280	American Landscape	UNK	0	T R	10:00 AM	11:20 AM	5	4	1	0	25	7	David Schuyler
10380	ENE	110	The Dynamic Earth	HAC	119	T	1:30 PM	4:20 PM	20	0	20	0			Robert Walter
10380	ENE	110	The Dynamic Earth	HAC	119	T R	10:00 AM	11:20 AM	20	0	20	0			Robert Walter
10381	ENE	114	"Earth, Environ & Humanity"	HAC	115	M	1:30 PM	4:20 PM	20	2	18	1			Timothy Bechtel
10381	ENE	114	"Earth, Environ & Humanity"	HAC	115	M W	8:30 AM	9:50 AM	20	2	18	1			Timothy Bechtel
10382	ENE	117	Environment and Human Values	HAC	115	T R	2:15 PM	3:35 PM	12	1	11	0	16	1	Eve Bratman
10383	ENE	117	Environment and Human Values	HAC	102	M W	11:00 AM	12:20 PM	12	0	12	0	16	0	. Staff
10384	ENE	117	Environment and Human Values	KAU	102	T R	12:45 PM	2:05 PM	12	0	12	0	16	0	James Strick
10388	ENE	216	Environmental Policy	HAC	115	M W	11:00 AM	12:20 PM	18	4	14	0			Elizabeth De Santo
10389	ENE	226	Surface of the Earth	HAC	124	R	12:45 PM	4:35 PM	20	13	7	0			Dorothy Merritts
10389	ENE	226	Surface of the Earth	HAC	131	T R	10:00 AM	11:20 AM	20	13	7	0			Dorothy Merritts
10392	ENE	250	Env Resources & GIS	HAC	119	M W	8:30 AM	9:50 AM	25	11	14	0			Andrew Dewet
10393	ENE	250	Lab	HAC	124	M	1:30 PM	4:20 PM	15	5	10	0			Andrew Dewet
10394	ENE	250	Lab	HAC	124	W	7:30 PM	10:20 PM	15	6	9	0			Andrew Dewet
10395	ENE	257	Conservation Paleobiology	HAC	131	M W	11:00 AM	12:20 PM	15	7	8	0	20	9	Paul Harnik
10395	ENE	257	Conservation Paleobiology	HAC	131	M	1:30 PM	4:20 PM	15	7	8	0	20	9	Paul Harnik
10402	ENE	372	Research Concepts& Practice	HAC	111	W	1:30 PM	4:20 PM	20	5	15	0			Carol de Wet
10403	ENE	313	"Nuclear Power, Weapons"	HAC	102	T R	10:00 AM	11:20 AM	15	7	8	1	20	12	James Strick
10521	ENE	240	Env & Natural Resource Econ	UNK	0	M W	2:30 PM	3:50 PM	3	1	2	1	19	12	Patrick Fleming
10726	ENE	405	Marine Protected Areas	UNK	0	T	1:30 PM	4:20 PM	10	5	5	0			Elizabeth De Santo
10776	ENE	275	Indigenous Environmntl Justice	UNK	0	T R	10:00 AM	11:20 AM	16	5	11	0			. Staff
10193	ENG	169	Caribbean Literature	UNK	0	M W F	2:30 PM	3:50 PM	19	1	18	0	19	1	Genevieve Abravanel
10343	ENG	173	Coming of Age	UNK	0	T R	10:00 AM	11:20 AM	25	6	19	0	25	7	Nicole Cesare
10345	ENG	175	BrdsEyeView:Falconry&NatureLit	UNK	0	M W F	12:30 PM	1:20 PM	25	1	24	0			. Staff
10346	ENG	201	Medieval British Literature	UNK	0	M W F	10:00 AM	10:50 AM	19	3	16	0	19	3	. Staff
10347	ENG	203	18th Century British Lit	UNK	0	T R	2:15 PM	3:35 PM	19	1	18	0			. Staff
10349	ENG	207	AmLit2:American Nobodies	UNK	0	M W	11:00 AM	12:20 PM	19	3	16	0			Shari Goldberg
10350	ENG	208	AmLit3: Individuals vs Systems	UNK	0	M W	3:00 PM	4:20 PM	19	1	18	0			Shari Goldberg
10351	ENG	210	20C Lit: Modernism & Modernity	UNK	0	M W F	12:30 PM	1:20 PM	19	0	19	0			Genevieve Abravanel
10352	ENG	225	Intro to Creative Writing	UNK	0	T R	10:00 AM	11:20 AM	19	3	16	0			Jessica Alexander
10353	ENG	225	Intro to Creative Writing	UNK	0	T R	4:45 PM	6:05 PM	19	0	19	0			Jessica Alexander
10354	ENG	225	Intro to Creative Writing	UNK	0	M W	11:00 AM	12:20 PM	19	5	14	0			Katherine Hartman
10355	ENG	225	Intro to Creative Writing	UNK	0	M W F	10:00 AM	10:50 AM	19	4	15	0			Meg Day
10356	ENG	225	Intro to Creative Writing	UNK	0	M W	1:00 PM	2:20 PM	19	3	16	0			Nicholas Montemarano
10357	ENG	233	Women Writers II	UNK	0	M W	8:30 AM	9:50 AM	19	6	13	0			Katherine Hartman
10359	ENG	256	African-American Literature I	UNK	0	T R	2:15 PM	3:35 PM	19	1	18	0	19	1	Patrick Bernard
10363	ENG	265	Contemporary Graphic Novel	UNK	0	T R	8:30 AM	9:50 AM	19	6	13	0	19	7	Kerry Sherin
10365	ENG	270	ComtempGothic&HorrorFiction	UNK	0	T R	12:45 PM	2:05 PM	19	0	19	0			Jessica Alexander
10372	ENG	370	Novel Writing	UNK	0	T R	12:45 PM	2:05 PM	15	4	11	0			Nicholas Montemarano
10373	ENG	371	Childhood in Victorian Lit	UNK	0	M W	11:00 AM	12:20 PM	19	8	11	0			Patricia O'Hara
10374	ENG	382	Writing Poetry	UNK	0	M	1:30 PM	4:20 PM	15	6	9	0			Meg Day
10375	ENG	471	Global South Remix	UNK	0	T	1:30 PM	4:20 PM	15	8	7	0			Nicole Cesare
10376	ENG	489	Shakespeare Out of Time	UNK	0	R	1:30 PM	4:20 PM	15	10	5	0			Tamara Goeglein
10613	ENG	275	Songwriting	SCC	B12	M W	1:00 PM	2:20 PM	10	1	9	0	20	3	Mary Barbara Sands Hall
10613	ENG	275	Songwriting	SCC	B12	M W	1:00 PM	2:20 PM	10	1	9	0	20	3	Matthew Butterfield
10620	ENG	272	Contemporary Autobiography	UNK	0	T R	10:00 AM	11:20 AM	19	4	15	0			Nicholas Montemarano
10644	ENG	174	Topic	UNK	0	T R	8:30 AM	9:50 AM	25	0	25	0			. Staff
10664	ENG	373	Feminist Theory	UNK	0	M W F	12:30 PM	1:20 PM	19	9	10	0			Meg Day
10666	ENG	226	Engaging Texts Intro	UNK	0	M W	1:00 PM	2:20 PM	19	1	18	0			Patricia O'Hara
10669	ENG	226	Engaging Texts Intro	UNK	0	T R	8:30 AM	9:50 AM	19	0	19	0			Patrick Bernard
10460	FRN	101	Elementary French I	UNK	0	M W F	8:00 AM	8:50 AM	20	0	20	0			Nadra Hebouche
10461	FRN	101	Elementary French I	UNK	0	M W F	8:00 AM	8:50 AM	20	0	20	0			Julie Saragosa
10462	FRN	102	Elementary French II	UNK	0	M W F	9:00 AM	9:50 AM	20	1	19	0			Lisa Gasbarrone
10463	FRN	201	Intermediate French I	UNK	0	M W F	1:30 PM	2:20 PM	20	2	18	1			Cindy Yetter-Vassot
10464	FRN	201	Intermediate French I	UNK	0	M W F	11:00 AM	11:50 AM	20	2	18	1			Sandrine Simeon - Ferguson
10465	FRN	201	Intermediate French I	UNK	0	M W F	12:30 PM	1:20 PM	20	1	19	1			Sandrine Simeon - Ferguson
10466	FRN	201	Practicum	UNK	0	T	3:45 PM	4:35 PM	12	0	12	0			. Staff
10467	FRN	201	Practicum	UNK	0	T	8:00 AM	9:50 AM	12	0	12	0			. Staff
10468	FRN	201	Practicum	UNK	0	T	9:00 AM	9:50 AM	12	0	12	0			. Staff
10469	FRN	201	Practicum	UNK	0	T	12:45 PM	1:35 PM	12	4	8	0			. Staff
10470	FRN	201	Practicum	UNK	0	T	2:15 PM	3:05 PM	12	1	11	0			. Staff
10471	FRN	202	Intermediate French II	UNK	0	M W F	9:00 AM	9:50 AM	20	3	17	0			Julie Saragosa
10472	FRN	202	Practicum	UNK	0	R	9:00 AM	9:50 AM	12	2	10	0			. Staff
10473	FRN	202	Practicum	UNK	0	R	12:45 PM	1:35 PM	12	1	11	0			. Staff
10474	FRN	241	"Parler, entendre, comprendre"	UNK	0	M W F	12:30 PM	1:20 PM	16	1	15	0			Cindy Yetter-Vassot
10475	FRN	242	"Ecrire, dscrire, s'exprimer"	UNK	0	T R	10:00 AM	11:20 AM	16	0	16	0			Carrie Landfried
10476	FRN	261	"Lire, analyser, critiquer"	UNK	0	T R	2:15 PM	3:35 PM	16	1	15	0			Carrie Landfried
10477	FRN	279	French Cinema and Culture	UNK	0	M W	2:30 PM	3:50 PM	16	4	12	0	16	4	Sandrine Simeon - Ferguson
10477	FRN	279	French Cinema and Culture	UNK	0	W	7:30 PM	9:30 PM	16	4	12	0	16	4	Sandrine Simeon - Ferguson
10478	FRN	379	Luxe et Elegance	UNK	0	M W F	10:00 AM	10:50 AM	16	12	4	0			Cindy Yetter-Vassot
10479	FRN	481	Adv Fr/Francophone Studies	UNK	0	M W	1:00 PM	2:20 PM	16	6	10	0			Lisa Gasbarrone
10324	GER	101	Elementary German I	UNK	0	M W F	8:45 AM	9:50 AM	19	0	19	0			Curtis Bentzel
10325	GER	101	Elementary German I	UNK	0	M W F	11:00 AM	12:05 PM	19	1	18	0			Karen Campbell
10326	GER	101	Drill	UNK	0	T	10:00 AM	10:50 AM	10	0	10	0			. Staff
10327	GER	101	Drill	UNK	0	T	2:15 PM	3:05 PM	10	0	10	0			. Staff
10328	GER	101	Drill	UNK	0	T	3:45 PM	4:35 PM	10	1	9	0			. Staff
10329	GER	101	Drill	UNK	0	T	7:30 PM	8:20 PM	10	0	10	0			. Staff
10330	GER	201	Intermediate German I	UNK	0	T R	8:30 AM	9:50 AM	19	1	18	0			Meagan Tripp
10331	GER	201	Intermediate German I	UNK	0	T R	12:45 PM	2:05 PM	19	0	19	0			Meagan Tripp
10332	GER	201	Drill	UNK	0	W	10:00 AM	10:50 AM	12	0	12	0			. Staff
10333	GER	201	Drill	UNK	0	W	1:30 PM	2:20 PM	12	1	11	0			. Staff
10334	GER	201	Drill	UNK	0	W	2:30 PM	3:20 PM	12	0	12	0			. Staff
10336	GER	301	German Conversation & Comp	UNK	0	T R	10:00 AM	11:20 AM	19	4	15	0			Jennifer Redmann
10337	GER	450	German Capstone Seminar	UNK	0	T R	7:30 PM	8:50 PM	19	2	17	0			Karen Campbell
10672	GER	464	Depictions of Women	UNK	0	T R	2:15 PM	3:35 PM	19	2	17	0			Jennifer Redmann
10196	GOV	100	American Government	UNK	0	T R	2:15 PM	3:35 PM	30	3	27	0			Brandon Koenig
10197	GOV	100	American Government	UNK	0	T R	4:45 PM	6:45 PM	30	3	27	0			Brandon Koenig
10198	GOV	100	American Government	UNK	0	T R	10:00 AM	11:20 AM	30	6	24	0			Matthew Schousen
10199	GOV	120	Comparative Politics	UNK	0	M W	8:30 AM	9:50 AM	30	4	26	0			Linda Hasunuma
10200	GOV	120	Comparative Politics	UNK	0	M W	11:00 AM	12:20 PM	30	8	22	0			Linda Hasunuma
10201	GOV	130	International Politics	UNK	0	T R	8:30 AM	9:50 AM	30	3	27	0			Nina Kollars
10202	GOV	130	International Politics	UNK	0	T R	10:00 AM	11:20 AM	30	8	22	0			Nina Kollars
10203	GOV	130	International Politics	UNK	0	W F	8:30 AM	9:50 AM	30	0	30	0			. Staff
10204	GOV	200	Understanding Public Policy	UNK	0	T R	8:30 AM	9:50 AM	20	4	16	4	25	5	. Staff
10205	GOV	219	City and State Government	HAR	202	T	7:30 PM	10:20 PM	25	16	9	0			James Shultz
10207	GOV	242	Modern Political Theory	HAR	202	M W	8:30 AM	9:50 AM	25	6	19	0			Kerry Whiteside
10208	GOV	242	Modern Political Theory	UNK	0	M W	11:00 AM	12:20 PM	25	10	15	0			Kerry Whiteside
10209	GOV	250	Political Research	HAR	202	M W	11:00 AM	12:20 PM	18	10	8	0			Matthew Schousen
10210	GOV	250	Political Research	UNK	0	M W	1:00 PM	2:20 PM	18	0	18	0			Matthew Schousen
10211	GOV	315	Civil Rights & Civil Liberties	UNK	0	M W	1:00 PM	2:20 PM	18	12	6	0			Elspeth Wilson
10212	GOV	315	Civil Rights & Civil Liberties	UNK	0	M W	2:30 PM	3:50 PM	18	4	14	0			Elspeth Wilson
10213	GOV	326	African Politics	HAR	202	T R	10:00 AM	11:20 AM	18	4	14	0	18	4	Susan Dicklitch-Nelson
10215	GOV	326	African Politics	HAR	202	T R	2:15 PM	3:35 PM	18	5	13	0	18	6	Susan Dicklitch-Nelson
10219	GOV	370	Race & American Politics	UNK	0	T R	12:45 PM	2:05 PM	18	14	4	0	18	15	David Ciuk
10220	GOV	370	Race & American Politics	UNK	0	T R	2:15 PM	3:35 PM	18	8	10	0	18	9	David Ciuk
10572	GOV	376	"Law, Money and Meaning"	UNK	0	M W	2:30 PM	3:50 PM	25	12	13	0			Kerry Whiteside
10678	GOV	371	Global Justice	UNK	0	T R	8:30 AM	9:50 AM	25	7	18	0			. Staff
10723	GOV	374	Global Environmental Politics	HAC	102	T R	8:30 AM	9:50 AM	5	1	4	0	16	11	Eve Bratman
10777	GOV	130	International Politics	UNK	0	W F	1:00 PM	2:20 PM	30	0	30	0			. Staff
10098	GRK	101	Elem Ancient Greek	GOE	207	M W F	9:00 AM	9:50 AM	19	0	19	0			Zachary Biles
10099	GRK	201	Intro to Greek Prose	GOE	107	M W F	8:00 AM	8:50 AM	15	2	13	0			Ryan Fowler
10091	HIS	114	History of Ancient Rome	UNK	0	M W F	11:00 AM	11:50 AM	5	0	5	0	25	0	Alexis Castor
10183	HIS	330	Ethnic America	UNK	0	T R	2:15 PM	3:35 PM	25	1	24	0	25	4	Dennis Deslippe
10412	HIS	115	The Middle Ages	UNK	0	T R	2:15 PM	3:35 PM	25	1	24	0			Benjamin McRee
10413	HIS	121	19th-Century Europe	UNK	0	M W F	10:00 AM	10:50 AM	25	4	21	0			Maria Mitchell
10414	HIS	125	Imperial Russian History	UNK	0	T R	12:45 PM	2:05 PM	25	1	24	0	25	1	Abby Schrader
10415	HIS	127	Islamic World to 1800	UNK	0	M W F	9:00 AM	9:50 AM	25	3	22	0			. Staff
10416	HIS	131	History of Colonial Latin Amer	UNK	0	T R	8:30 AM	9:50 AM	25	11	14	0			Laura Shelton
10417	HIS	136	U.S. Empire	UNK	0	M W F	11:00 AM	11:50 AM	20	4	16	2	25	6	Louise Stevenson
10418	HIS	137	"American History, 1491-1865"	UNK	0	M W F	10:00 AM	10:50 AM	25	8	17	0			Edward Pearson
10419	HIS	138	U.S. and the Modern World	UNK	0	M W	1:00 PM	2:20 PM	25	8	17	0			Van Gosse
10420	HIS	141	History of North & West Africa	UNK	0	M W	1:00 PM	2:20 PM	25	2	23	0	25	6	Douglas Anthony
10421	HIS	151	Premodern East Asian History	UNK	0	T R	2:15 PM	3:35 PM	25	3	22	0			Richard Reitan
10422	HIS	153	Premodern Jewish History	UNK	0	M W F	12:30 PM	1:20 PM	25	1	24	0	25	1	Matthew Hoffman
10424	HIS	260	History Workshop	UNK	0	T R	10:00 AM	11:20 AM	16	6	10	1			Richard Reitan
10425	HIS	276	Islamic World Topic	UNK	0	M W F	12:30 PM	1:20 PM	18	3	15	0			. Staff
10426	HIS	316	Tudor-Stuart England	UNK	0	M W	2:30 PM	3:50 PM	18	1	17	0			Benjamin McRee
10427	HIS	334	"American South, 1800-1865"	UNK	0	M W	11:00 AM	12:20 PM	15	4	11	0	18	4	Edward Pearson
10428	HIS	349	Modern South Africa	UNK	0	T R	10:00 AM	11:20 AM	18	3	15	0	18	3	Douglas Anthony
10429	HIS	356	European Sexualities	UNK	0	M W	1:00 PM	2:20 PM	18	3	15	0			Maria Mitchell
10430	HIS	403	The Urban Experience in Europe	UNK	0	M	1:30 PM	4:20 PM	15	6	9	0			Abby Schrader
10689	HIS	175	Civil Liberties/Rights Mod Ame	UNK	0	M W	2:30 PM	3:50 PM	25	1	24	0			Van Gosse
10746	HIS	383	"Sex, Lies and Bookburning"	HAC	115	T R	8:30 AM	9:50 AM	20	5	15	0	20	7	James Strick
10759	HIS	371	"Science, Facts and Fascism"	UNK	0	W F	8:30 AM	9:50 AM	20	0	20	0	20	1	. Staff
10779	HIS	310	American Masculinities	UNK	0	T R	7:30 PM	8:50 PM	20	2	18	0	20	5	Dennis Deslippe
10645	INT	480	Preceptorship	UNK	0	T	8:30 AM	9:20 AM	15	0	15	0			Dirk Eitzen
10646	INT	480	Preceptorship	UNK	0	W	4:30 PM	5:20 PM	15	0	15	0			Dirk Eitzen
10647	INT	481	Preceptorship	UNK	0	T	8:30 AM	9:20 AM	15	0	15	0			Dirk Eitzen
10648	INT	481	Preceptorship	UNK	0	W	4:30 PM	5:20 PM	15	0	15	0			Dirk Eitzen
10164	IST	350	International Business	UNK	0	M W	3:00 PM	4:20 PM	3	0	3	0	25	0	. Staff
10226	IST	489	International Studies Seminar	UNK	0	M	1:30 PM	4:20 PM	16	8	8	0			Sylvia Alajaji
10603	IST	228	Middle Eastern Music & Culture	SCC	B12	M W	11:00 AM	12:20 PM	10	3	7	1	20	7	Sylvia Alajaji
10701	IST	175	Migration Architecture	KEI	114	T R	12:45 PM	2:05 PM	25	0	25	0	25	1	Konstantinos Kourelis
10773	IST	273	Global Contemporary Art	KEI	114	T R	7:30 PM	8:50 PM	25	1	24	0	25	3	. Staff
10002	ITA	101	Elementary Italian I	UNK	0	M W F	8:00 AM	8:50 AM	18	0	18	0			Arianna Fognani
10003	ITA	101	Elementary Italian I	UNK	0	M W F	9:00 AM	9:50 AM	18	0	18	0			Arianna Fognani
10004	ITA	101	Elementary Italian I	UNK	0	M W F	10:00 AM	10:50 AM	18	0	18	0			Scott Lerner
10005	ITA	201	Interm Italian Lang & Culture	UNK	0	M W F	11:00 AM	11:50 AM	18	3	15	0			Giovanna Lerner
10006	ITA	201	Interm Italian Lang & Culture	UNK	0	M W F	12:30 PM	1:20 PM	18	4	14	0			Arianna Fognani
10007	ITA	310	Intro Italian Literary Studies	UNK	0	M W	1:00 PM	2:20 PM	18	0	18	0			Scott Lerner
10679	ITA	101	Drill	UNK	0	T	8:30 AM	9:15 AM	12	0	12	0			. Staff
10680	ITA	101	Drill	UNK	0	T	12:45 PM	1:30 PM	12	0	12	0			. Staff
10681	ITA	101	Drill	UNK	0	T	2:15 PM	3:00 PM	12	0	12	0			. Staff
10682	ITA	101	Drill	UNK	0	T	3:00 PM	3:45 PM	12	0	12	0			. Staff
10683	ITA	101	Drill	UNK	0	T	3:50 PM	4:35 PM	12	0	12	0			. Staff
10684	ITA	201	Drill	UNK	0	R	8:30 AM	9:15 AM	10	0	10	0			. Staff
10685	ITA	201	Drill	UNK	0	R	2:15 PM	3:00 PM	10	3	7	0			. Staff
10686	ITA	201	Drill	UNK	0	R	3:00 PM	3:45 PM	10	4	6	0			. Staff
10687	ITA	201	Drill	UNK	0	R	3:50 PM	4:35 PM	10	0	10	0			. Staff
10766	ITA	371	Mediterranean Narrative Jrny	UNK	0	M	2:30 PM	3:50 PM	12	4	8	0			Giovanna Lerner
10766	ITA	371	Mediterranean Narrative Jrny	UNK	0	W	2:30 PM	3:50 PM	12	4	8	0			Giovanna Lerner
10287	JPN	101	Elementary Japanese I	UNK	0	M W F	9:00 AM	9:50 AM	15	0	15	0			Kenichi Miura
10288	JPN	101	Elementary Japanese I	UNK	0	M W F	10:00 AM	10:50 AM	15	1	14	0			Kenichi Miura
10289	JPN	101	Elementary Japanese I	UNK	0	M W F	1:30 PM	2:20 PM	15	1	14	0			Kenichi Miura
10290	JPN	101	Drill	UNK	0	T R	8:30 AM	9:20 AM	12	0	12	0			Naomi Asakura
10291	JPN	101	Drill	UNK	0	T R	10:00 AM	10:50 AM	12	1	11	0			. Staff
10292	JPN	101	Drill	UNK	0	T R	12:45 PM	1:35 PM	12	0	12	0			Naomi Asakura
10293	JPN	101	Drill	UNK	0	T R	2:15 PM	3:05 PM	12	0	12	0			. Staff
10294	JPN	101	Drill	UNK	0	T R	3:45 PM	4:35 PM	12	1	11	0			Naomi Asakura
10295	JPN	201	Intermediate Japanese I	UNK	0	M W F	10:00 AM	10:50 AM	18	2	16	0			Kumi Omoto
10296	JPN	201	Intermediate Japanese I	UNK	0	M W F	12:30 PM	1:20 PM	18	2	16	0			Kumi Omoto
10297	JPN	201	Drill	UNK	0	R	8:30 AM	9:20 AM	18	1	17	0			. Staff
10298	JPN	201	Drill	UNK	0	R	3:45 PM	4:35 PM	18	3	15	0			. Staff
10299	JPN	301	Upper Intermediate Japanese I	UNK	0	M W F	11:00 AM	11:50 AM	15	1	14	0			Kumi Omoto
10300	JPN	401	Upper Int Japanese III	UNK	0	M W F	11:00 AM	11:50 AM	10	5	5	0			Naomi Asakura
10540	JST	153	Premodern Jewish History	UNK	0	M W F	12:30 PM	1:20 PM	25	0	25	0	25	1	Matthew Hoffman
10660	JST	101	Elem Modern Hebrew I	UNK	0	M W F	11:00 AM	11:50 AM	20	0	20	0			. Staff
10661	JST	201	Intermediate Modern Hebrew I	UNK	0	M W F	9:00 AM	9:50 AM	20	0	20	0			. Staff
10674	JST	201	Drill	UNK	0	F	10:00 AM	10:50 AM	10	0	10	0			. Staff
10676	JST	101	Drill	UNK	0	T	10:00 AM	10:40 AM	10	0	10	0			. Staff
10677	JST	101	Drill	UNK	0	T	10:40 AM	11:20 AM	10	0	10	0			. Staff
10734	JST	201	Drill	UNK	0	F	11:00 AM	11:50 AM	10	0	10	0			. Staff
10100	LAT	101	Elementary Latin I	GOE	207	M W F	10:00 AM	10:50 AM	19	1	18	0			Shawn O'Bryhim
10101	LAT	101	Elementary Latin I	GOE	207	M W F	12:30 PM	1:20 PM	19	0	19	0			Ryan Fowler
10102	LAT	201	Intro to Latin Prose	GOE	207	M W F	11:00 AM	11:50 AM	15	6	9	0			Shawn O'Bryhim
